# Door and Key
d 702 54 level0
k 126 180

# Hero
h 36 550

# Outer Border - Bottom
p 0 590
p 18 590
p 36 590
p 54 590
p 72 590
p 90 590
p 108 590
p 126 590
p 144 590
p 162 590
p 180 590
p 198 590
p 216 590
p 234 590
p 252 590
p 270 590
p 288 590
p 306 590
p 324 590
p 342 590
p 360 590
p 378 590
p 396 590
p 414 590
p 432 590
p 450 590
p 468 590
p 486 590
p 504 590
p 522 590
p 540 590
p 558 590
p 576 590
p 594 590
p 612 590
p 630 590
p 648 590
p 666 590
p 684 590
p 702 590
p 720 590
p 738 590
p 756 590
p 774 590
p 792 590

# Outer Border - Top
p 0 0
p 18 0
p 36 0
p 54 0
p 72 0
p 90 0
p 108 0
p 126 0
p 144 0
p 162 0
p 180 0
p 198 0
p 216 0
p 234 0
p 252 0
p 270 0
p 288 0
p 306 0
p 324 0
p 342 0
p 360 0
p 378 0
p 396 0
p 414 0
p 432 0
p 450 0
p 468 0
p 486 0
p 504 0
p 522 0
p 540 0
p 558 0
p 576 0
p 594 0
p 612 0
p 630 0
p 648 0
p 666 0
p 684 0
p 702 0
p 720 0
p 738 0
p 756 0
p 774 0
p 792 0

# Outer Border - Left Wall
p 0 18
p 0 36
p 0 54
p 0 72
p 0 90
p 0 108
p 0 126
p 0 144
p 0 162
p 0 180
p 0 198
p 0 216
p 0 234
p 0 252
p 0 270
p 0 288
p 0 306
p 0 324
p 0 342
p 0 360
p 0 378
p 0 396
p 0 414
p 0 432
p 0 450
p 0 468
p 0 486
p 0 504
p 0 522
p 0 540
p 0 558
p 0 576

# Outer Border - Right Wall
p 792 18
p 792 36
p 792 54
p 792 72
p 792 90
p 792 108
p 792 126
p 792 144
p 792 162
p 792 180
p 792 198
p 792 216
p 792 234
p 792 252
p 792 270
p 792 288
p 792 306
p 792 324
p 792 342
p 792 360
p 792 378
p 792 396
p 792 414
p 792 432
p 792 450
p 792 468
p 792 486
p 792 504
p 792 522
p 792 540
p 792 558
p 792 576

# Path 1 - Climb toward Key
p 36 522
p 54 522
p 72 522
p 90 522
p 108 522
p 126 522
p 144 522

p 144 450
p 162 450
p 180 450
p 198 450
p 216 450

p 216 378
p 234 378
p 252 378
p 270 378
p 288 378

# Path 2 - Reach Key Area
p 198 306
p 216 306
p 234 306
p 252 306
p 270 306
p 288 306

p 144 234
p 162 234
p 180 234
p 198 234
p 216 234

p 90 198
p 108 198
p 126 198
p 144 198

# Path 3 - From Key toward Door
p 270 234
p 288 234
p 306 234
p 324 234
p 342 234
p 360 234
p 378 234

p 378 162
p 396 162
p 414 162
p 432 162
p 450 162
p 468 162

p 468 252
p 486 252
p 504 252
p 522 252
p 540 252
p 558 252
p 576 252

p 576 180
p 594 180
p 612 180
p 630 180
p 648 180
p 666 180
p 684 180

# Final climb to Door
p 684 126
p 702 126
p 720 126
p 738 126

p 738 72
p 720 72
p 702 72
p 684 72
