# Door and Key
d 100 376 level0
k 50 382

# Hero
h 12 350

# Platforms
p 6 400
p 24 400
p 42 400
p 60 400
p 78 400
p 96 400
p 114 400
p 132 400
p 150 400
p 168 400
p 186 400
p 204 400
p 222 400
p 240 400
p 258 400
p 276 400
p 294 400
p 312 400
p 330 400
p 348 400
p 366 400
p 384 400
p 402 400
p 420 400
p 438 400
p 456 400
p 474 400
p 492 400
p 510 400
p 528 400
p 546 400
p 564 400
p 582 400
p 600 400
p 618 400
p 636 400
p 654 400
p 672 400
p 690 400
p 708 400
p 726 400
p 744 400
p 762 400
p 780 400
p 798 400
p 816 400
p 834 400
p 852 400
p 870 400
p 888 400
p 906 400
p 924 400
p 942 400
p 960 400
p 978 400
p 996 400
p 1014 400
p 1032 400
p 1050 400
p 1068 400
p 1086 400
p 1104 400
p 1122 400
p 1140 400
p 1158 400
p 1176 400
p 1194 400 
